               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  69,            0.018306,            0.008359,                   0,             0.87443,             0.77076,             0.80007,             0.51058,            0.037086,            0.039886,                   0,             0.00796,             0.00796,             0.00796
                  70,            0.018042,           0.0083779,                   0,             0.89898,             0.72038,             0.75927,             0.49093,            0.037909,            0.049327,                   0,             0.00793,             0.00793,             0.00793
                  71,            0.017671,           0.0080403,                   0,             0.87396,             0.65088,             0.67711,             0.39988,            0.044085,             0.04856,                   0,              0.0079,              0.0079,              0.0079
                  72,            0.018127,           0.0083404,                   0,             0.86055,             0.75716,             0.78744,             0.50458,              0.0374,            0.044585,                   0,             0.00787,             0.00787,             0.00787
                  73,             0.01703,           0.0079823,                   0,             0.89646,             0.75716,             0.78729,             0.50986,            0.037197,            0.041974,                   0,             0.00784,             0.00784,             0.00784
                  74,            0.017151,           0.0079455,                   0,             0.89526,             0.74229,             0.80196,             0.51276,             0.03825,            0.037248,                   0,             0.00781,             0.00781,             0.00781
                  75,            0.017468,           0.0079101,                   0,             0.89758,             0.72632,             0.77967,             0.50682,             0.03795,            0.039492,                   0,             0.00778,             0.00778,             0.00778
                  76,            0.017349,           0.0079496,                   0,              0.8833,             0.73773,             0.77806,             0.49937,            0.038297,            0.042395,                   0,             0.00775,             0.00775,             0.00775
                  77,            0.017251,           0.0078335,                   0,             0.87984,             0.75397,             0.77663,             0.49757,            0.037774,            0.043352,                   0,             0.00772,             0.00772,             0.00772
                  78,            0.017003,            0.007554,                   0,             0.89541,             0.74229,             0.78015,             0.50935,            0.037198,            0.041746,                   0,             0.00769,             0.00769,             0.00769
                  79,            0.016988,           0.0075044,                   0,             0.88759,             0.73044,             0.75498,             0.47992,            0.038659,            0.044521,                   0,             0.00766,             0.00766,             0.00766
                  80,            0.016827,           0.0076718,                   0,             0.87507,             0.55066,             0.58988,             0.34608,            0.047346,            0.054186,                   0,             0.00763,             0.00763,             0.00763
                  81,            0.016611,           0.0074132,                   0,             0.89185,              0.7522,             0.79057,              0.5157,            0.037226,            0.040258,                   0,              0.0076,              0.0076,              0.0076
                  82,            0.016381,            0.007575,                   0,             0.89734,             0.73644,             0.78459,             0.49822,             0.03924,            0.039023,                   0,             0.00757,             0.00757,             0.00757
                  83,            0.016592,           0.0074337,                   0,             0.90229,             0.75881,             0.81234,             0.52835,            0.036645,            0.037928,                   0,             0.00754,             0.00754,             0.00754
                  84,            0.016379,            0.007251,                   0,             0.90566,             0.74535,             0.79341,              0.5148,            0.037309,            0.040453,                   0,             0.00751,             0.00751,             0.00751
                  85,            0.016324,           0.0072907,                   0,             0.87292,             0.74136,             0.77175,             0.49675,            0.038313,            0.045443,                   0,             0.00748,             0.00748,             0.00748
                  86,            0.016182,           0.0073528,                   0,             0.86819,             0.51377,             0.55719,             0.32046,            0.049136,            0.057962,                   0,             0.00745,             0.00745,             0.00745
                  87,            0.016163,           0.0072888,                   0,             0.90862,             0.73368,             0.77102,             0.50227,            0.036911,            0.045983,                   0,             0.00742,             0.00742,             0.00742
                  88,            0.015961,           0.0073637,                   0,             0.87469,              0.7511,              0.8051,             0.52274,            0.037439,            0.037388,                   0,             0.00739,             0.00739,             0.00739
                  89,            0.016109,           0.0071063,                   0,             0.88835,             0.76046,             0.80377,             0.51508,            0.036583,            0.039925,                   0,             0.00736,             0.00736,             0.00736
                  90,            0.015955,           0.0069414,                   0,             0.87649,             0.74725,               0.774,             0.49637,            0.037578,            0.045727,                   0,             0.00733,             0.00733,             0.00733
                  91,            0.015922,           0.0069285,                   0,             0.91049,             0.73789,             0.79436,             0.51017,            0.037821,            0.038928,                   0,              0.0073,              0.0073,              0.0073
                  92,            0.015617,           0.0068375,                   0,             0.90936,             0.76239,             0.82129,             0.53155,            0.036962,            0.037157,                   0,             0.00727,             0.00727,             0.00727
                  93,             0.01569,           0.0069572,                   0,             0.88989,             0.72357,             0.76795,             0.49374,            0.038993,            0.041874,                   0,             0.00724,             0.00724,             0.00724
                  94,            0.015568,           0.0068137,                   0,             0.89365,             0.76432,             0.81855,             0.53125,            0.036644,            0.037806,                   0,             0.00721,             0.00721,             0.00721
                  95,            0.015215,           0.0065953,                   0,             0.88711,             0.71531,             0.76473,             0.47347,            0.040118,            0.041312,                   0,             0.00718,             0.00718,             0.00718
                  96,            0.015822,           0.0069074,                   0,             0.89518,             0.74284,              0.8152,             0.52668,            0.036478,            0.037447,                   0,             0.00715,             0.00715,             0.00715
                  97,             0.01501,           0.0066815,                   0,             0.90207,             0.76593,             0.81955,              0.5261,            0.036633,            0.038049,                   0,             0.00712,             0.00712,             0.00712
                  98,            0.015263,           0.0067768,                   0,             0.88908,              0.7415,             0.80181,             0.52015,            0.036823,            0.038657,                   0,             0.00709,             0.00709,             0.00709
                  99,            0.014902,           0.0065479,                   0,             0.86861,             0.67896,             0.71441,             0.43744,            0.041558,            0.047316,                   0,             0.00706,             0.00706,             0.00706
                 100,            0.014584,           0.0064042,                   0,             0.90455,               0.741,             0.80173,             0.52176,            0.036864,            0.039364,                   0,             0.00703,             0.00703,             0.00703
                 101,            0.015005,           0.0065787,                   0,             0.90188,             0.75412,             0.81661,             0.52247,            0.036827,            0.038016,                   0,               0.007,               0.007,               0.007
