               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  73,            0.024458,             0.02131,            0.005733,             0.57488,             0.49939,             0.52732,             0.33436,            0.046507,            0.085966,            0.012318,             0.00784,             0.00784,             0.00784
                  74,            0.024605,            0.021239,           0.0056751,              0.2614,             0.18401,             0.16555,            0.085573,            0.065947,             0.12684,            0.023788,             0.00781,             0.00781,             0.00781
                  75,            0.024857,            0.021146,           0.0056035,             0.53119,             0.46344,               0.489,             0.29742,            0.050162,            0.089332,            0.014016,             0.00778,             0.00778,             0.00778
                  76,            0.024519,            0.020608,           0.0054456,             0.43206,             0.41892,             0.39899,             0.23133,            0.052646,            0.096138,            0.016718,             0.00775,             0.00775,             0.00775
                  77,            0.024182,            0.020729,             0.00543,             0.61856,             0.59695,             0.61848,              0.4058,             0.04401,            0.081139,            0.011008,             0.00772,             0.00772,             0.00772
                  78,            0.024014,            0.019978,           0.0052718,             0.60243,             0.54997,              0.5664,             0.37227,            0.047211,            0.085141,            0.012518,             0.00769,             0.00769,             0.00769
                  79,            0.024062,            0.020038,           0.0053629,             0.60408,             0.46331,             0.47296,             0.28827,            0.052196,            0.093171,            0.013809,             0.00766,             0.00766,             0.00766
                  80,            0.023476,            0.020632,            0.005187,             0.71877,             0.65043,             0.70076,              0.4628,            0.043623,            0.080642,            0.010333,             0.00763,             0.00763,             0.00763
                  81,            0.024035,            0.020245,           0.0051348,             0.67733,              0.6619,             0.69456,             0.47007,            0.042184,            0.077754,            0.010127,              0.0076,              0.0076,              0.0076
                  82,            0.023421,            0.020253,           0.0051512,              0.7036,             0.65597,             0.70921,             0.48039,            0.041819,            0.074672,            0.010029,             0.00757,             0.00757,             0.00757
                  83,            0.023622,            0.020161,           0.0051166,             0.45687,             0.50661,             0.47757,             0.28444,            0.052489,            0.093769,            0.013845,             0.00754,             0.00754,             0.00754
                  84,            0.023713,             0.01989,           0.0050339,             0.74103,             0.69623,             0.73639,             0.51003,             0.04074,            0.076384,           0.0094693,             0.00751,             0.00751,             0.00751
                  85,            0.023491,            0.019846,           0.0049857,             0.49752,             0.39259,             0.39248,              0.2449,            0.052432,             0.10242,            0.014153,             0.00748,             0.00748,             0.00748
                  86,            0.022985,            0.019843,           0.0048524,             0.34789,              0.3002,             0.26328,             0.14677,              0.0588,             0.11885,            0.019356,             0.00745,             0.00745,             0.00745
                  87,            0.022796,            0.019625,           0.0048151,             0.57248,             0.39816,             0.40152,             0.23377,            0.056536,             0.10201,            0.015374,             0.00742,             0.00742,             0.00742
                  88,            0.023123,            0.020131,           0.0048029,             0.64294,             0.55994,             0.59648,             0.39282,            0.045187,             0.08746,            0.011308,             0.00739,             0.00739,             0.00739
                  89,            0.022979,            0.019291,           0.0046923,               0.542,             0.53279,             0.53782,              0.3388,            0.046361,            0.082926,            0.012915,             0.00736,             0.00736,             0.00736
                  90,            0.022897,            0.018986,           0.0047291,             0.45154,             0.36507,             0.37347,             0.23283,            0.053387,              0.1073,            0.014567,             0.00733,             0.00733,             0.00733
                  91,            0.022711,            0.019015,           0.0045786,             0.46499,             0.31687,             0.32657,             0.18906,            0.056409,             0.10952,            0.018808,              0.0073,              0.0073,              0.0073
