               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 131,            0.018695,            0.015507,           0.0028168,             0.85941,             0.74362,             0.80917,             0.58575,            0.038678,            0.074871,           0.0075322,              0.0061,              0.0061,              0.0061
                 132,            0.018621,            0.015485,           0.0027881,             0.87877,             0.72059,             0.79281,             0.56546,            0.040036,            0.080568,           0.0080397,             0.00607,             0.00607,             0.00607
                 133,             0.01875,            0.015849,           0.0027844,             0.80765,             0.66333,             0.73161,             0.50144,            0.042153,            0.085951,           0.0092507,             0.00604,             0.00604,             0.00604
                 134,            0.019112,            0.016022,           0.0027804,             0.66872,             0.42831,              0.4698,              0.2963,            0.050018,            0.098087,            0.015221,             0.00601,             0.00601,             0.00601
                 135,            0.018982,            0.016235,           0.0027673,             0.77614,             0.62609,              0.6941,             0.46373,            0.042602,            0.082212,            0.010005,             0.00598,             0.00598,             0.00598
                 136,            0.018806,            0.015431,           0.0027052,             0.86502,             0.66919,             0.76099,             0.54154,            0.040863,            0.082061,           0.0086541,             0.00595,             0.00595,             0.00595
                 137,            0.018712,            0.016118,           0.0027325,             0.68938,             0.53044,             0.58029,             0.37201,            0.046512,            0.086564,            0.012773,             0.00592,             0.00592,             0.00592
                 138,            0.018619,            0.015408,           0.0026775,             0.87238,             0.66304,             0.76094,             0.54076,            0.041369,            0.084074,           0.0087099,             0.00589,             0.00589,             0.00589
                 139,            0.018823,            0.015385,           0.0026706,             0.88476,             0.69975,             0.78386,             0.56702,            0.039889,            0.078481,           0.0081373,             0.00586,             0.00586,             0.00586
                 140,            0.018223,            0.015173,           0.0026294,             0.83768,             0.63576,             0.71339,             0.50099,            0.043214,            0.083966,           0.0096956,             0.00583,             0.00583,             0.00583
                 141,            0.018709,            0.015703,           0.0026101,              0.6144,             0.40833,             0.44943,             0.26118,            0.054088,             0.10878,            0.014477,              0.0058,              0.0058,              0.0058
                 142,            0.018301,            0.015059,           0.0025826,             0.70392,             0.62496,             0.64965,             0.42888,            0.043954,            0.085543,            0.010527,             0.00577,             0.00577,             0.00577
                 143,            0.018053,            0.015138,           0.0025067,             0.85073,             0.70317,             0.76986,              0.5482,            0.040918,            0.083422,           0.0083991,             0.00574,             0.00574,             0.00574
                 144,            0.018541,            0.015478,           0.0025755,             0.86378,             0.69053,             0.77886,             0.55645,            0.040558,            0.082282,           0.0083036,             0.00571,             0.00571,             0.00571
                 145,            0.018252,            0.015101,           0.0025444,             0.82926,             0.70278,             0.76953,             0.54108,            0.040422,            0.079298,           0.0087037,             0.00568,             0.00568,             0.00568
                 146,            0.018165,            0.015311,           0.0025395,             0.73247,             0.51028,             0.56235,             0.36198,            0.048281,            0.090878,            0.012615,             0.00565,             0.00565,             0.00565
                 147,            0.018118,            0.014779,           0.0024641,             0.75267,             0.62105,             0.66647,              0.4432,            0.042829,            0.081944,            0.010499,             0.00562,             0.00562,             0.00562
                 148,            0.017742,            0.014678,           0.0024667,             0.87117,             0.65875,             0.74652,              0.5218,            0.041578,            0.079178,           0.0089932,             0.00559,             0.00559,             0.00559
                 149,            0.017572,            0.014778,           0.0024808,             0.87181,             0.71448,             0.79624,              0.5769,            0.039767,            0.080503,           0.0078883,             0.00556,             0.00556,             0.00556
